Tissue,Position,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
body,X2R_1376937,GO:0042254,ribosome biogenesis,22/233,190/7021,2.6048141606775513e-7,6.946171095140138e-5,6.8319248600227e-5,FBgn0024733/FBgn0023514/FBgn0029785/FBgn0037061/FBgn0037330/FBgn0005593/FBgn0032921/FBgn0032925/FBgn0039300/FBgn0039406/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033548/FBgn0033485/FBgn0039757/FBgn0017579/FBgn0064225/FBgn0259704/FBgn0010412/FBgn0010408/FBgn0052409,22
body,X2R_1376937,GO:0022613,ribonucleoprotein complex biogenesis,26/233,259/7021,3.5957918519747017e-7,8.218952804513604e-5,8.083772659702525e-5,FBgn0024733/FBgn0023514/FBgn0029785/FBgn0037061/FBgn0037330/FBgn0005593/FBgn0032921/FBgn0032925/FBgn0039300/FBgn0039406/FBgn0029079/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033548/FBgn0033485/FBgn0039757/FBgn0017579/FBgn0064225/FBgn0040007/FBgn0259704/FBgn0261791/FBgn0010412/FBgn0004926/FBgn0010408/FBgn0052409,26
body,X2R_1376937,GO:0042273,ribosomal large subunit biogenesis,9/233,50/7021,3.194148759278254e-5,0.006388297518556508,0.006283226835685512,FBgn0024733/FBgn0029785/FBgn0005593/FBgn0032925/FBgn0030061/FBgn0033485/FBgn0017579/FBgn0064225/FBgn0052409,9
body,X2R_1376937,GO:0042255,ribosome assembly,8/233,40/7021,4.000615010390502e-5,0.007112204462916449,0.006995227415829007,FBgn0024733/FBgn0039300/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033485/FBgn0064225/FBgn0010412,8
body,X2R_1376937,GO:0022618,ribonucleoprotein complex assembly,12/233,105/7021,1.705651990806281e-4,0.02727685122586574,0.026828218804387682,FBgn0024733/FBgn0039300/FBgn0029079/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033485/FBgn0064225/FBgn0040007/FBgn0261791/FBgn0010412/FBgn0004926,12
body,X2R_1376937,GO:0006364,rRNA processing,13/233,122/7021,1.8752835217782695e-4,0.02727685122586574,0.026828218804387682,FBgn0023514/FBgn0029785/FBgn0037061/FBgn0037330/FBgn0005593/FBgn0032921/FBgn0004403/FBgn0030061/FBgn0033548/FBgn0033485/FBgn0039757/FBgn0259704/FBgn0052409,13
body,X2R_1376937,GO:0071826,ribonucleoprotein complex subunit organization,12/233,109/7021,2.4358857130916148e-4,0.03247847617455486,0.03194429071115758,FBgn0024733/FBgn0039300/FBgn0029079/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033485/FBgn0064225/FBgn0040007/FBgn0261791/FBgn0010412/FBgn0004926,12
body,X2R_1376974,GO:0002181,cytoplasmic translation,56/659,114/7021,2.7923762216450566e-28,6.282846498701377e-25,6.187317838487205e-25,FBgn0024733/FBgn0002579/FBgn0029785/FBgn0002593/FBgn0037351/FBgn0001942/FBgn0005593/FBgn0003942/FBgn0015756/FBgn0032518/FBgn0038834/FBgn0039163/FBgn0039300/FBgn0039406/FBgn0003279/FBgn0002626/FBgn0032987/FBgn0013325/FBgn0029897/FBgn0004403/FBgn0016726/FBgn0010409/FBgn0003274/FBgn0034138/FBgn0034029/FBgn0033912/FBgn0033699/FBgn0033485/FBgn0033317/FBgn0017545/FBgn0030719/FBgn0015834/FBgn0029891/FBgn0017579/FBgn0011272/FBgn0010339/FBgn0028697/FBgn0064225/FBgn0040007/FBgn0086472/FBgn0261602/FBgn0261608/FBgn0023170/FBgn0026372/FBgn0035422/FBgn0010198/FBgn0030616/FBgn0010412/FBgn0002590/FBgn0011284/FBgn0004926/FBgn0010408/FBgn0005533/FBgn0035753/FBgn0003941/FBgn0015521,56
body,X2R_1376974,GO:0006412,translation,101/659,389/7021,6.5437246950054e-23,7.361690281881075e-20,7.249758148940194e-20,FBgn0024733/FBgn0002579/FBgn0003714/FBgn0029785/FBgn0002593/FBgn0031231/FBgn0036990/FBgn0037135/FBgn0037351/FBgn0037330/FBgn0001942/FBgn0005593/FBgn0003942/FBgn0015756/FBgn0000146/FBgn0004872/FBgn0032518/FBgn0001995/FBgn0032671/FBgn0037566/FBgn0037901/FBgn0044511/FBgn0038234/FBgn0051155/FBgn0026250/FBgn0038834/FBgn0039163/FBgn0039300/FBgn0039406/FBgn0039555/FBgn0003279/FBgn0029176/FBgn0002626/FBgn0039765/FBgn0032987/FBgn0013325/FBgn0034361/FBgn0034313/FBgn0029897/FBgn0004403/FBgn0016726/FBgn0010409/FBgn0003274/FBgn0034138/FBgn0034029/FBgn0034001/FBgn0033912/FBgn0027079/FBgn0026741/FBgn0033699/FBgn0033485/FBgn0033317/FBgn0033184/FBgn0017545/FBgn0030719/FBgn0031651/FBgn0015834/FBgn0029891/FBgn0017579/FBgn0033712/FBgn0011272/FBgn0010339/FBgn0028697/FBgn0064225/FBgn0040007/FBgn0086472/FBgn0250816/FBgn0261067/FBgn0261602/FBgn0261608/FBgn0026261/FBgn0034858/FBgn0023170/FBgn0034923/FBgn0035064/FBgn0040666/FBgn0283681/FBgn0284245/FBgn0026372/FBgn0035335/FBgn0027082/FBgn0035422/FBgn0010198/FBgn0030616/FBgn0010412/FBgn0030789/FBgn0002590/FBgn0031047/FBgn0036557/FBgn0011284/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0005533/FBgn0035916/FBgn0028648/FBgn0035753/FBgn0031639/FBgn0003941/FBgn0015521/FBgn0031357,101
body,X2R_1376974,GO:0043043,peptide biosynthetic process,102/659,427/7021,3.483848395442917e-20,2.612886296582188e-17,2.5731582008446813e-17,FBgn0024733/FBgn0002579/FBgn0003714/FBgn0029785/FBgn0002593/FBgn0031231/FBgn0036990/FBgn0037135/FBgn0037351/FBgn0037330/FBgn0001942/FBgn0005593/FBgn0003942/FBgn0015756/FBgn0000146/FBgn0004872/FBgn0032518/FBgn0001995/FBgn0032671/FBgn0037566/FBgn0037901/FBgn0044511/FBgn0038234/FBgn0051155/FBgn0026250/FBgn0038834/FBgn0039163/FBgn0039300/FBgn0039406/FBgn0039555/FBgn0003279/FBgn0029176/FBgn0002626/FBgn0039765/FBgn0032987/FBgn0013325/FBgn0034361/FBgn0034313/FBgn0029897/FBgn0004403/FBgn0016726/FBgn0010409/FBgn0003274/FBgn0034138/FBgn0034029/FBgn0034001/FBgn0033912/FBgn0027079/FBgn0026741/FBgn0033699/FBgn0033485/FBgn0033317/FBgn0033184/FBgn0017545/FBgn0030719/FBgn0031651/FBgn0015834/FBgn0029891/FBgn0017579/FBgn0033712/FBgn0011272/FBgn0033453/FBgn0010339/FBgn0028697/FBgn0064225/FBgn0040007/FBgn0086472/FBgn0250816/FBgn0261067/FBgn0261602/FBgn0261608/FBgn0026261/FBgn0034858/FBgn0023170/FBgn0034923/FBgn0035064/FBgn0040666/FBgn0283681/FBgn0284245/FBgn0026372/FBgn0035335/FBgn0027082/FBgn0035422/FBgn0010198/FBgn0030616/FBgn0010412/FBgn0030789/FBgn0002590/FBgn0031047/FBgn0036557/FBgn0011284/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0005533/FBgn0035916/FBgn0028648/FBgn0035753/FBgn0031639/FBgn0003941/FBgn0015521/FBgn0031357,102
body,X2R_1376974,GO:0043604,amide biosynthetic process,107/659,464/7021,6.440060521147851e-20,3.622534043145666e-17,3.567454578162165e-17,FBgn0024733/FBgn0002579/FBgn0003714/FBgn0028325/FBgn0029785/FBgn0002593/FBgn0031231/FBgn0036990/FBgn0037135/FBgn0037351/FBgn0037330/FBgn0001942/FBgn0005593/FBgn0003942/FBgn0015756/FBgn0000146/FBgn0004872/FBgn0032518/FBgn0001995/FBgn0032671/FBgn0037566/FBgn0037901/FBgn0037958/FBgn0044511/FBgn0038234/FBgn0051155/FBgn0026250/FBgn0038834/FBgn0039156/FBgn0039163/FBgn0039300/FBgn0039406/FBgn0039555/FBgn0003279/FBgn0029176/FBgn0002626/FBgn0039765/FBgn0032987/FBgn0013325/FBgn0034361/FBgn0034313/FBgn0029897/FBgn0004403/FBgn0016726/FBgn0010409/FBgn0003274/FBgn0034138/FBgn0034029/FBgn0034001/FBgn0033912/FBgn0027079/FBgn0026741/FBgn0033699/FBgn0033485/FBgn0033317/FBgn0033184/FBgn0017545/FBgn0030719/FBgn0031651/FBgn0015834/FBgn0029891/FBgn0017579/FBgn0033712/FBgn0011272/FBgn0033453/FBgn0001125/FBgn0010339/FBgn0028697/FBgn0064225/FBgn0040007/FBgn0086472/FBgn0250816/FBgn0261067/FBgn0261602/FBgn0261608/FBgn0026261/FBgn0034858/FBgn0023170/FBgn0034923/FBgn0035064/FBgn0040666/FBgn0283681/FBgn0284245/FBgn0026372/FBgn0035335/FBgn0027082/FBgn0035422/FBgn0010198/FBgn0030616/FBgn0010412/FBgn0030789/FBgn0002590/FBgn0031047/FBgn0036557/FBgn0011284/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0005533/FBgn0035916/FBgn0028648/FBgn0035753/FBgn0035641/FBgn0031639/FBgn0003941/FBgn0015521/FBgn0031357,107
body,X2R_1376974,GO:0006518,peptide metabolic process,106/659,471/7021,6.911717411730456e-19,3.110272835278705e-16,3.0629821371984445e-16,FBgn0024733/FBgn0002579/FBgn0003714/FBgn0029785/FBgn0002593/FBgn0031231/FBgn0036990/FBgn0001247/FBgn0037135/FBgn0037351/FBgn0037330/FBgn0001942/FBgn0005593/FBgn0003942/FBgn0015756/FBgn0000146/FBgn0004872/FBgn0032518/FBgn0001995/FBgn0032671/FBgn0037566/FBgn0037901/FBgn0044511/FBgn0038234/FBgn0051155/FBgn0026250/FBgn0038834/FBgn0039163/FBgn0039300/FBgn0039406/FBgn0039555/FBgn0003279/FBgn0039640/FBgn0029176/FBgn0002626/FBgn0039765/FBgn0032987/FBgn0013325/FBgn0034361/FBgn0034313/FBgn0029897/FBgn0004403/FBgn0016726/FBgn0010409/FBgn0003274/FBgn0034138/FBgn0034029/FBgn0034001/FBgn0033912/FBgn0027079/FBgn0026741/FBgn0033699/FBgn0033485/FBgn0033317/FBgn0033184/FBgn0017545/FBgn0030719/FBgn0031651/FBgn0015834/FBgn0029891/FBgn0017579/FBgn0033712/FBgn0011272/FBgn0033453/FBgn0010339/FBgn0028697/FBgn0064225/FBgn0040007/FBgn0086472/FBgn0250816/FBgn0261067/FBgn0261602/FBgn0261608/FBgn0026261/FBgn0034858/FBgn0023170/FBgn0034923/FBgn0035064/FBgn0040666/FBgn0283681/FBgn0284245/FBgn0284421/FBgn0026372/FBgn0035335/FBgn0027082/FBgn0024194/FBgn0035422/FBgn0010198/FBgn0030616/FBgn0010412/FBgn0030789/FBgn0002590/FBgn0031047/FBgn0036557/FBgn0011284/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0005533/FBgn0035916/FBgn0028648/FBgn0035753/FBgn0031639/FBgn0003941/FBgn0015521/FBgn0031357,106
body,X2R_1376974,GO:0042254,ribosome biogenesis,46/659,190/7021,8.699983949151794e-10,3.262493980931923e-7,3.212888809292023e-7,FBgn0024733/FBgn0023514/FBgn0023527/FBgn0001330/FBgn0023542/FBgn0029672/FBgn0029785/FBgn0021874/FBgn0037061/FBgn0037330/FBgn0005593/FBgn0032408/FBgn0032701/FBgn0032925/FBgn0038235/FBgn0038269/FBgn0010926/FBgn0038585/FBgn0038746/FBgn0010770/FBgn0039182/FBgn0039300/FBgn0039406/FBgn0004403/FBgn0030000/FBgn0030061/FBgn0034243/FBgn0034138/FBgn0033557/FBgn0033548/FBgn0033485/FBgn0028473/FBgn0033379/FBgn0032388/FBgn0017579/FBgn0064225/FBgn0086130/FBgn0259704/FBgn0026372/FBgn0010412/FBgn0030789/FBgn0002590/FBgn0010408/FBgn0016983/FBgn0052409/FBgn0015521,46
body,X2R_1376974,GO:0022613,ribonucleoprotein complex biogenesis,54/659,259/7021,9.647857908510427e-9,3.1010971848783518e-6,3.053945999611196e-6,FBgn0024733/FBgn0023514/FBgn0023527/FBgn0001330/FBgn0023542/FBgn0029672/FBgn0029785/FBgn0021874/FBgn0037061/FBgn0037330/FBgn0041717/FBgn0005593/FBgn0032408/FBgn0032701/FBgn0032925/FBgn0038235/FBgn0038269/FBgn0010926/FBgn0038585/FBgn0038746/FBgn0010770/FBgn0039182/FBgn0039300/FBgn0039406/FBgn0029079/FBgn0004403/FBgn0030000/FBgn0030061/FBgn0034243/FBgn0034138/FBgn0033557/FBgn0033548/FBgn0033485/FBgn0028473/FBgn0033379/FBgn0032388/FBgn0030719/FBgn0017579/FBgn0064225/FBgn0040007/FBgn0086130/FBgn0259704/FBgn0261791/FBgn0034876/FBgn0026372/FBgn0010412/FBgn0030789/FBgn0002590/FBgn0030969/FBgn0004926/FBgn0010408/FBgn0016983/FBgn0052409/FBgn0015521,54
body,X2R_1376974,GO:0042273,ribosomal large subunit biogenesis,18/659,50/7021,2.580101352368651e-7,7.256535053536832e-5,7.146201772021068e-5,FBgn0024733/FBgn0029785/FBgn0021874/FBgn0005593/FBgn0032408/FBgn0032925/FBgn0038585/FBgn0038746/FBgn0010770/FBgn0030061/FBgn0033485/FBgn0028473/FBgn0033379/FBgn0017579/FBgn0064225/FBgn0086130/FBgn0026372/FBgn0052409,18
body,X2R_1376974,GO:0032543,mitochondrial translation,26/659,101/7021,1.2429257685711624e-6,3.0983473341934364e-4,3.0512379595214894e-4,FBgn0003714/FBgn0031231/FBgn0036990/FBgn0037330/FBgn0001995/FBgn0037566/FBgn0037901/FBgn0044511/FBgn0038234/FBgn0039555/FBgn0039765/FBgn0034361/FBgn0034001/FBgn0026741/FBgn0033184/FBgn0031651/FBgn0033712/FBgn0026261/FBgn0035064/FBgn0040666/FBgn0035335/FBgn0036557/FBgn0036135/FBgn0028648/FBgn0031639/FBgn0031357,26
body,X2R_1376974,GO:0042255,ribosome assembly,15/659,40/7021,1.4237754164357478e-6,3.0983473341934364e-4,3.0512379595214894e-4,FBgn0024733/FBgn0021874/FBgn0038585/FBgn0010770/FBgn0039300/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033557/FBgn0033485/FBgn0064225/FBgn0086130/FBgn0026372/FBgn0010412/FBgn0002590,15
body,X2R_1376974,GO:0140053,mitochondrial gene expression,29/659,121/7021,1.51474758560568e-6,3.0983473341934364e-4,3.0512379595214894e-4,FBgn0003714/FBgn0029858/FBgn0031231/FBgn0036990/FBgn0037330/FBgn0001995/FBgn0037566/FBgn0037901/FBgn0044511/FBgn0038234/FBgn0038961/FBgn0039555/FBgn0039765/FBgn0034361/FBgn0034001/FBgn0026741/FBgn0033184/FBgn0032166/FBgn0031651/FBgn0033712/FBgn0026261/FBgn0035064/FBgn0040666/FBgn0035335/FBgn0036557/FBgn0036135/FBgn0028648/FBgn0031639/FBgn0031357,29
body,X2R_1376974,GO:0000027,ribosomal large subunit assembly,9/659,17/7021,6.528282766772238e-6,0.0012240530187697946,0.0012054416863206633,FBgn0024733/FBgn0021874/FBgn0038585/FBgn0010770/FBgn0030061/FBgn0033485/FBgn0064225/FBgn0086130/FBgn0026372,9
body,X2R_1376974,GO:0022618,ribonucleoprotein complex assembly,24/659,105/7021,2.8262379980389013e-5,0.00489156576583656,0.004817191081677642,FBgn0024733/FBgn0021874/FBgn0041717/FBgn0032701/FBgn0038585/FBgn0010770/FBgn0039300/FBgn0029079/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033557/FBgn0033485/FBgn0030719/FBgn0064225/FBgn0040007/FBgn0086130/FBgn0261791/FBgn0034876/FBgn0026372/FBgn0010412/FBgn0002590/FBgn0030969/FBgn0004926,24
body,X2R_1376974,GO:0065003,protein-containing complex assembly,63/659,411/7021,4.803454475412256e-5,0.007719837549769698,0.007602459902814135,FBgn0024733/FBgn0029823/FBgn0028685/FBgn0021874/FBgn0031247/FBgn0036998/FBgn0037376/FBgn0041717/FBgn0051715/FBgn0028926/FBgn0032701/FBgn0032884/FBgn0021856/FBgn0037573/FBgn0037758/FBgn0013981/FBgn0017567/FBgn0022344/FBgn0038585/FBgn0038577/FBgn0010770/FBgn0038947/FBgn0039125/FBgn0029503/FBgn0039300/FBgn0029079/FBgn0003545/FBgn0004403/FBgn0030061/FBgn0034578/FBgn0034645/FBgn0034138/FBgn0033961/FBgn0040751/FBgn0033698/FBgn0033557/FBgn0033523/FBgn0033485/FBgn0030719/FBgn0033781/FBgn0064225/FBgn0040007/FBgn0086130/FBgn0086346/FBgn0243516/FBgn0259722/FBgn0261791/FBgn0034876/FBgn0011726/FBgn0015268/FBgn0266666/FBgn0011361/FBgn0025712/FBgn0026372/FBgn0002948/FBgn0010412/FBgn0002590/FBgn0030969/FBgn0031021/FBgn0010341/FBgn0004926/FBgn0035805/FBgn0029117,63
body,X2R_1376974,GO:0071826,ribonucleoprotein complex subunit organization,24/659,109/7021,5.4059440349248214e-5,0.008108916052387232,0.007985622591941579,FBgn0024733/FBgn0021874/FBgn0041717/FBgn0032701/FBgn0038585/FBgn0010770/FBgn0039300/FBgn0029079/FBgn0004403/FBgn0030061/FBgn0034138/FBgn0033557/FBgn0033485/FBgn0030719/FBgn0064225/FBgn0040007/FBgn0086130/FBgn0261791/FBgn0034876/FBgn0026372/FBgn0010412/FBgn0002590/FBgn0030969/FBgn0004926,24
body,X2R_1376974,GO:0006364,rRNA processing,25/659,122/7021,1.3162850047397493e-4,0.018510257879152725,0.018228815361691925,FBgn0023514/FBgn0023527/FBgn0001330/FBgn0029785/FBgn0037061/FBgn0037330/FBgn0005593/FBgn0032408/FBgn0038235/FBgn0038269/FBgn0010926/FBgn0038585/FBgn0010770/FBgn0039182/FBgn0004403/FBgn0030000/FBgn0030061/FBgn0033557/FBgn0033548/FBgn0033485/FBgn0032388/FBgn0259704/FBgn0030789/FBgn0052409/FBgn0015521,25
body,X2R_1376974,GO:0016072,rRNA metabolic process,27/659,139/7021,1.847470727168856e-4,0.02445181844782309,0.024080036412943914,FBgn0023514/FBgn0023527/FBgn0001330/FBgn0029785/FBgn0028685/FBgn0037061/FBgn0037330/FBgn0005593/FBgn0032408/FBgn0038235/FBgn0038269/FBgn0010926/FBgn0038585/FBgn0010770/FBgn0039182/FBgn0004403/FBgn0030000/FBgn0030061/FBgn0033557/FBgn0033548/FBgn0033485/FBgn0032388/FBgn0259704/FBgn0261111/FBgn0030789/FBgn0052409/FBgn0015521,27
body,X2R_1376974,GO:0042274,ribosomal small subunit biogenesis,15/659,59/7021,2.597277674637293e-4,0.03246597093296616,0.03197233628720177,FBgn0023527/FBgn0001330/FBgn0038235/FBgn0010926/FBgn0038746/FBgn0039300/FBgn0004403/FBgn0030000/FBgn0034138/FBgn0033557/FBgn0010412/FBgn0002590/FBgn0010408/FBgn0052409/FBgn0015521,15
body,X2R_1376974,GO:0043933,protein-containing complex organization,68/659,480/7021,2.811067614943974e-4,0.033288958598020744,0.03278281068951283,FBgn0024733/FBgn0029823/FBgn0028685/FBgn0021874/FBgn0031247/FBgn0036998/FBgn0037376/FBgn0041717/FBgn0051715/FBgn0028926/FBgn0032671/FBgn0032701/FBgn0032884/FBgn0021856/FBgn0037573/FBgn0037758/FBgn0013981/FBgn0017567/FBgn0022344/FBgn0038585/FBgn0038577/FBgn0010770/FBgn0038947/FBgn0039125/FBgn0029503/FBgn0039300/FBgn0029079/FBgn0003545/FBgn0004403/FBgn0030061/FBgn0034578/FBgn0034645/FBgn0034138/FBgn0033961/FBgn0040751/FBgn0033698/FBgn0033557/FBgn0033523/FBgn0033485/FBgn0030719/FBgn0033781/FBgn0064225/FBgn0040007/FBgn0086130/FBgn0086346/FBgn0243516/FBgn0259722/FBgn0261791/FBgn0263197/FBgn0034876/FBgn0011726/FBgn0015268/FBgn0263979/FBgn0266666/FBgn0011361/FBgn0025712/FBgn0026372/FBgn0002948/FBgn0010412/FBgn0002590/FBgn0030943/FBgn0030969/FBgn0031021/FBgn0010341/FBgn0004926/FBgn0004379/FBgn0035805/FBgn0029117,68
body,X2R_1380559,GO:0002181,cytoplasmic translation,13/70,114/7021,5.957210495317349e-11,5.170858709935459e-8,5.060493547074843e-8,FBgn0029785/FBgn0037351/FBgn0001942/FBgn0003279/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033912/FBgn0033699/FBgn0064225/FBgn0261602/FBgn0004926/FBgn0010408,13
body,X2R_1380559,GO:0006412,translation,20/70,389/7021,5.724522881507569e-10,2.484442930574285e-7,2.4314157712508463e-7,FBgn0029785/FBgn0036990/FBgn0037351/FBgn0001942/FBgn0003279/FBgn0029176/FBgn0030007/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033912/FBgn0033699/FBgn0064225/FBgn0261602/FBgn0283681/FBgn0036462/FBgn0004926/FBgn0010408/FBgn0028648/FBgn0031639,20
body,X2R_1380559,GO:0043604,amide biosynthetic process,21/70,464/7021,1.978166959570104e-9,5.723496403022834e-7,5.601335917098505e-7,FBgn0028325/FBgn0029785/FBgn0036990/FBgn0037351/FBgn0001942/FBgn0003279/FBgn0029176/FBgn0030007/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033912/FBgn0033699/FBgn0064225/FBgn0261602/FBgn0283681/FBgn0036462/FBgn0004926/FBgn0010408/FBgn0028648/FBgn0031639,21
body,X2R_1380559,GO:0043043,peptide biosynthetic process,20/70,427/7021,2.9428460192763734e-9,6.38597586182973e-7,6.249675625147456e-7,FBgn0029785/FBgn0036990/FBgn0037351/FBgn0001942/FBgn0003279/FBgn0029176/FBgn0030007/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033912/FBgn0033699/FBgn0064225/FBgn0261602/FBgn0283681/FBgn0036462/FBgn0004926/FBgn0010408/FBgn0028648/FBgn0031639,20
body,X2R_1380559,GO:0006518,peptide metabolic process,20/70,471/7021,1.591733542500118e-8,2.7632494297802047e-6,2.7042715132580956e-6,FBgn0029785/FBgn0036990/FBgn0037351/FBgn0001942/FBgn0003279/FBgn0029176/FBgn0030007/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033912/FBgn0033699/FBgn0064225/FBgn0261602/FBgn0283681/FBgn0036462/FBgn0004926/FBgn0010408/FBgn0028648/FBgn0031639,20
body,X2R_2018917,GO:0002181,cytoplasmic translation,10/49,114/7021,4.132170583590618e-9,3.1487139846960505e-6,3.005610392906439e-6,FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033699/FBgn0029891/FBgn0010339/FBgn0064225/FBgn0261602/FBgn0004926/FBgn0010408,10
body,X2R_2018917,GO:0006412,translation,14/49,389/7021,2.3160822089260967e-7,8.824273216008428e-5,8.423225296673331e-5,FBgn0003714/FBgn0004872/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033699/FBgn0029891/FBgn0010339/FBgn0064225/FBgn0261067/FBgn0261602/FBgn0034923/FBgn0004926/FBgn0010408,14
body,X2R_2018917,GO:0043043,peptide biosynthetic process,14/49,427/7021,7.246164584514965e-7,1.8405258044668012e-4,1.756877097508716e-4,FBgn0003714/FBgn0004872/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033699/FBgn0029891/FBgn0010339/FBgn0064225/FBgn0261067/FBgn0261602/FBgn0034923/FBgn0004926/FBgn0010408,14
body,X2R_2018917,GO:0043604,amide biosynthetic process,14/49,464/7021,1.9683967760300267e-6,3.584984218684275e-4,3.4220529011062773e-4,FBgn0003714/FBgn0004872/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033699/FBgn0029891/FBgn0010339/FBgn0064225/FBgn0261067/FBgn0261602/FBgn0034923/FBgn0004926/FBgn0010408,14
body,X2R_2018917,GO:0006518,peptide metabolic process,14/49,471/7021,2.352351849530364e-6,3.584984218684275e-4,3.4220529011062773e-4,FBgn0003714/FBgn0004872/FBgn0016726/FBgn0010409/FBgn0034138/FBgn0033699/FBgn0029891/FBgn0010339/FBgn0064225/FBgn0261067/FBgn0261602/FBgn0034923/FBgn0004926/FBgn0010408,14
body,X2R_2018917,GO:0006354,DNA-templated transcription elongation,4/49,43/7021,2.1157567148583612e-4,0.026870110278701186,0.025648910350300487,FBgn0010421/FBgn0028683/FBgn0034939/FBgn0035205,4
body,X2R_2082635,GO:0050657,nucleic acid transport,9/113,83/7021,6.390545850811194e-6,0.0026496333220736917,0.0026277581243682327,FBgn0038738/FBgn0000416/FBgn0034310/FBgn0026741/FBgn0021761/FBgn0031536/FBgn0028411/FBgn0000618/FBgn0036263,9
body,X2R_2082635,GO:0050658,RNA transport,9/113,83/7021,6.390545850811194e-6,0.0026496333220736917,0.0026277581243682327,FBgn0038738/FBgn0000416/FBgn0034310/FBgn0026741/FBgn0021761/FBgn0031536/FBgn0028411/FBgn0000618/FBgn0036263,9
body,X2R_2082635,GO:0051236,establishment of RNA localization,9/113,85/7021,7.793039182569681e-6,0.0026496333220736917,0.0026277581243682327,FBgn0038738/FBgn0000416/FBgn0034310/FBgn0026741/FBgn0021761/FBgn0031536/FBgn0028411/FBgn0000618/FBgn0036263,9
body,X2R_2082635,GO:0015931,nucleobase-containing compound transport,9/113,98/7021,2.5019110101445385e-5,0.006379873075868573,0.006327201265128688,FBgn0038738/FBgn0000416/FBgn0034310/FBgn0026741/FBgn0021761/FBgn0031536/FBgn0028411/FBgn0000618/FBgn0036263,9
body,X2R_2082635,GO:0032543,mitochondrial translation,9/113,101/7021,3.189227957626952e-5,0.006506025033558982,0.0064523117205884245,FBgn0037330/FBgn0001995/FBgn0039765/FBgn0026741/FBgn0029718/FBgn0031651/FBgn0260407/FBgn0035335/FBgn0031639,9
body,X2R_2082635,GO:0140053,mitochondrial gene expression,9/113,121/7021,1.319571623288211e-4,0.022432717595899588,0.02224751456105212,FBgn0037330/FBgn0001995/FBgn0039765/FBgn0026741/FBgn0029718/FBgn0031651/FBgn0260407/FBgn0035335/FBgn0031639,9
body,X2R_2082635,GO:0006403,RNA localization,10/113,154/7021,1.7230713038873777e-4,0.025107610428073218,0.024900323654673234,FBgn0038738/FBgn0000416/FBgn0034310/FBgn0026741/FBgn0021761/FBgn0045862/FBgn0031536/FBgn0028411/FBgn0000618/FBgn0036263,10
body,X2R_2082635,GO:0006368,transcription elongation by RNA polymerase II,5/113,35/7021,2.1821297596517181e-4,0.027822154435559406,0.027592456566122386,FBgn0010750/FBgn0010421/FBgn0028683/FBgn0035205/FBgn0017430,5
body,X2R_2108991,GO:0140053,mitochondrial gene expression,6/40,121/7021,5.500472506018684e-5,0.02783239088045454,0.02703916484537606,FBgn0037330/FBgn0032261/FBgn0038961/FBgn0034361/FBgn0036557/FBgn0031639,6
body,X3R_16911373,GO:0002181,cytoplasmic translation,31/36,114/7021,1.41571714900205e-52,2.519976525223649e-50,2.3396588672981252e-50,FBgn0002579/FBgn0002593/FBgn0037328/FBgn0031980/FBgn0015756/FBgn0032518/FBgn0037686/FBgn0019936/FBgn0039300/FBgn0039359/FBgn0002626/FBgn0039857/FBgn0010411/FBgn0013325/FBgn0029897/FBgn0010409/FBgn0039757/FBgn0039713/FBgn0010265/FBgn0086710/FBgn0261596/FBgn0261597/FBgn0261599/FBgn0010078/FBgn0034968/FBgn0010198/FBgn0030616/FBgn0002590/FBgn0036825/FBgn0003941/FBgn0015521,31
body,X3R_16911373,GO:0006412,translation,32/36,389/7021,8.647678137276541e-37,7.696433542176122e-35,7.145712987117984e-35,FBgn0002579/FBgn0002593/FBgn0037328/FBgn0031980/FBgn0015756/FBgn0032518/FBgn0037686/FBgn0019936/FBgn0039300/FBgn0039359/FBgn0002626/FBgn0039857/FBgn0010411/FBgn0013325/FBgn0029897/FBgn0010409/FBgn0028737/FBgn0039757/FBgn0039713/FBgn0010265/FBgn0086710/FBgn0261596/FBgn0261597/FBgn0261599/FBgn0010078/FBgn0034968/FBgn0010198/FBgn0030616/FBgn0002590/FBgn0036825/FBgn0003941/FBgn0015521,32
